Datum,Inland,Utland
2018-09,12630259,2527392
2018-10,44734,13148
2018-11,44857,6368
2018-12,36211,6139
2019-01,36019,6053
2019-02,37333,6210
2019-03,43834,7167
2019-04,36688,12327
2019-05,49591,15126
2019-06,39608,15781
2019-07,31437,18969
2019-08,38363,15836
2019-09,44258,13924
2019-10,46981,14406
2019-11,43595,9613
2019-12,40182,8829
2020-01,36667,8973
2020-02,36984,9284
2020-03,20042,5037
2020-04,4380,0
2020-05,7418,0
2020-06,10996,150
2020-07,15324,2879
2020-08,14842,2722
2020-09, 17448,1070
2020-10,17776,677
2020-11,10266,677
2020-12,13330,734
2021-01,8991,1667
2021-02,8229,318
2021-03,9028,107
2021-04,8233,0
2021-05,11509,103
2021-06, 16737,1123
2021-07,21267,2213
2021-08,23451,1659
2021-09,28324,4668
2021-10,34248,6825
2021-11,35513,3545
2021-12,26962,3969
2022-01,19273,4429
2022-02,22842,4814
2022-03,33212,5835
2022-04,34865,9773
2022-05,39391,10178
2022-06,37233,10495
2022-07,24053,17159
2022-08,35181,11123
2022-09,41039,9879
2022-10,40920,11812
2022-11,40950,5271
2022-12,34016,6374
2023-01,33432,6095
2023-02,34403,4165
2023-03,44156,5360
2023-04,37277,15097
2023-05,40601,15183
2023-06,43343,18164
2023-07,31691,23915
2023-08,38538,16754
2023-09,42840,13537
2023-10,44947,14979
2023-11,43114,9604
2023-12,34541,9566
2024-01,33422,8120
2024-02,35899,8813
2024-03,39822,9349
2024-04,41854,11303
2024-05,42211,12732
2024-06,40834,14777
2024-07,30070,17612
2024-08,35726,13456
2024-09,40793,10662
2024-10,44785,12203
2024-11,41576,7833
2024-12,35232,6868
2025-01,33661,6733
2025-02,35951,8293
2025-03,41136,8936
2025-04,39225,10325
2025-05,40225,11035
2025-06,40089,11808
2025-07,28265,16650
2025-08, 34107, 12078
2025-09, 41700, 9590
2025-10, 42914, 12045
2025-11, 38711, 9952
2025-12, 33883, 8169
2026-01, 32224, 8338
